Stock,Count,Buy,Sell,2T,2TB,2TS,3T,3TB,3TS,5T,5TB,5TS
BTS,0,0,0,0,0,0,0,0,0,0,0,0
AGP,0,0,0,0,0,0,0,0,0,0,0,0
SVN,0,0,0,0,0,0,0,0,0,0,0,0
BIC,0,0,0,0,0,0,0,0,0,0,0,0
FID,0,0,0,0,0,0,0,0,0,0,0,0
DRL,0,0,0,0,0,0,0,0,0,0,0,0
TDH,0,0,0,0,0,0,0,0,0,0,0,0
APC,0,0,0,0,0,0,0,0,0,0,0,0
CHP,0,0,0,0,0,0,0,0,0,0,0,0
ABS,0,0,0,0,0,0,0,0,0,0,0,0
FTM,0,0,0,0,0,0,0,0,0,0,0,0
SJF,0,0,0,0,0,0,0,0,0,0,0,0
DMC,0,0,0,0,0,0,0,0,0,0,0,0
TMS,0,0,0,0,0,0,0,0,0,0,0,0
SHN,0,0,0,0,0,0,0,0,0,0,0,0
QCG,0,0,0,0,0,0,0,0,0,0,0,0
FIR,0,0,0,0,0,0,0,0,0,0,0,0
C47,0,0,0,0,0,0,0,0,0,0,0,0
THG,0,0,0,0,0,0,0,0,0,0,0,0
HPI,0,0,0,0,0,0,0,0,0,0,0,0
VHE,0,0,0,0,0,0,0,0,0,0,0,0
CVT,0,0,0,0,0,0,0,0,0,0,0,0
CLL,0,0,0,0,0,0,0,0,0,0,0,0
BTD,0,0,0,0,0,0,0,0,0,0,0,0
TNI,0,0,0,0,0,0,0,0,0,0,0,0
CSM,0,0,0,0,0,0,0,0,0,0,0,0
DTA,0,0,0,0,0,0,0,0,0,0,0,0
BVG,0,0,0,0,0,0,0,0,0,0,0,0
HUB,0,0,0,0,0,0,0,0,0,0,0,0
HAP,0,0,0,0,0,0,0,0,0,0,0,0
MQN,0,0,0,0,0,0,0,0,0,0,0,0
SAV,0,0,0,0,0,0,0,0,0,0,0,0
TGG,0,0,0,0,0,0,0,0,0,0,0,0
IJC,0,0,0,0,0,0,0,0,0,0,0,0
HVH,0,0,0,0,0,0,0,0,0,0,0,0
HAD,0,0,0,0,0,0,0,0,0,0,0,0
SMB,0,0,0,0,0,0,0,0,0,0,0,0
AGM,0,0,0,0,0,0,0,0,0,0,0,0
CIA,0,0,0,0,0,0,0,0,0,0,0,0
ADS,0,0,0,0,0,0,0,0,0,0,0,0
FMC,0,0,0,0,0,0,0,0,0,0,0,0
HAX,0,0,0,0,0,0,0,0,0,0,0,0
TS4,0,0,0,0,0,0,0,0,0,0,0,0
KSQ,0,0,0,0,0,0,0,0,0,0,0,0
PGC,0,0,0,0,0,0,0,0,0,0,0,0
CDC,0,0,0,0,0,0,0,0,0,0,0,0
NAG,0,0,0,0,0,0,0,0,0,0,0,0
DAH,0,0,0,0,0,0,0,0,0,0,0,0
VPH,0,0,0,0,0,0,0,0,0,0,0,0
M10,0,0,0,0,0,0,0,0,0,0,0,0
LCM,0,0,0,0,0,0,0,0,0,0,0,0
HAR,0,0,0,0,0,0,0,0,0,0,0,0
OGC,0,0,0,0,0,0,0,0,0,0,0,0
LBM,0,0,0,0,0,0,0,0,0,0,0,0
CET,0,0,0,0,0,0,0,0,0,0,0,0
PSH,0,0,0,0,0,0,0,0,0,0,0,0
C32,0,0,0,0,0,0,0,0,0,0,0,0
VRC,0,0,0,0,0,0,0,0,0,0,0,0
EID,0,0,0,0,0,0,0,0,0,0,0,0
APG,0,0,0,0,0,0,0,0,0,0,0,0
CIG,0,0,0,0,0,0,0,0,0,0,0,0
DAT,0,0,0,0,0,0,0,0,0,0,0,0
