,Code,Floor
933,PTL,HOSE
934,LM8,HOSE
935,TIS,UPCOM
936,NKG,HOSE
937,CIG,HOSE
938,L14,HNX
939,MBB,HOSE
940,VCX,UPCOM
941,STV,UPCOM
942,MED,HNX
943,LMC,UPCOM
944,FCN,HOSE
945,BHP,UPCOM
946,FCM,HOSE
947,PSD,HNX
948,HNG,HOSE
949,CH5,UPCOM
950,CCH,UPCOM
951,IFC,UPCOM
952,PIC,HNX
953,VCW,UPCOM
954,HPI,UPCOM
955,CMK,UPCOM
956,CDG,UPCOM
957,CLM,HNX
958,MVY,UPCOM
959,BII,HNX
960,PVH,UPCOM
961,NMK,UPCOM
962,SGO,UPCOM
963,TTB,HOSE
964,MPT,HNX
965,ACV,UPCOM
966,HIZ,UPCOM
967,MFS,UPCOM
968,HKP,UPCOM
969,ACM,HNX
970,PMP,HNX
971,NDP,UPCOM
972,VEF,UPCOM
973,CMP,UPCOM
974,KDM,HNX
975,TID,UPCOM
976,VPD,HOSE
977,MST,HNX
978,FCC,UPCOM
979,FRT,HOSE
980,HNP,UPCOM
981,HPW,UPCOM
982,NVL,HOSE
983,UPH,UPCOM
984,FCS,UPCOM
985,DNR,UPCOM
986,YRC,UPCOM
987,GTS,UPCOM
988,RLC,UPCOM
989,NVP,UPCOM
990,SSU,UPCOM
991,CCV,UPCOM
992,BTB,UPCOM
993,HHR,UPCOM
994,DTG,UPCOM
995,MTS,UPCOM
996,QLT,UPCOM
997,DNE,UPCOM
998,CCT,UPCOM
999,HEJ,UPCOM
1000,CPA,UPCOM
1001,TDG,HOSE
1002,DSS,UPCOM
1003,HD6,UPCOM
1004,NHV,UPCOM
1005,TCD,HOSE
1006,TNW,UPCOM
1007,HTE,UPCOM
1008,DNN,UPCOM
1009,SKH,UPCOM
1010,HDW,UPCOM
1011,TS5,UPCOM
1012,HEP,UPCOM
1013,TLD,HOSE
1014,BGW,UPCOM
1015,SVH,UPCOM
1016,BUD,UPCOM
1017,MDA,UPCOM
1018,BMF,UPCOM
1019,LMH,UPCOM
1020,YEG,HOSE
1021,BSH,UPCOM
1022,FGL,UPCOM
1023,A32,UPCOM
1024,DDG,HNX
1025,TLI,UPCOM
1026,USD,UPCOM
1027,DCG,UPCOM
1028,NSL,UPCOM
1029,DUS,UPCOM
1030,SZB,HNX
1031,VW3,UPCOM
1032,GAB,HOSE
1033,E29,UPCOM
1034,TR1,UPCOM
1035,MDT,UPCOM
1036,HGC,UPCOM
1037,PSH,HOSE
1038,SGH,HNX
1039,REE,HOSE
1040,PLX,HOSE
1041,HPG,HOSE
1042,TAC,HOSE
1043,TYA,HOSE
1044,PVS,HNX
1045,BCC,HNX
1046,CTG,HOSE
1047,TTC,HNX
1048,VIP,HOSE
1049,PAC,HOSE
1050,VSA,HNX
1051,SHB,HNX
1052,BVS,HNX
1053,HNB,UPCOM
1054,ITA,HOSE
